instrument_key,exchange_token,tradingsymbol,name,last_price,,,tick_size,lot_size,instrument_type,,exchange
NSE_EQ|INE869I01013,21195,GTPL,GTPL HATHWAY LIMITED,115.84,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE399C01030,11689,SUPRAJIT,SUPRAJIT ENGINEERING LTD,447.95,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0MJQ01020,12986,PRITIKA,PRITIKA ENG COMPO LTD,90,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE0LLY01014,27213,EIEL,ENVIRO INFRA ENGINEERS L,275.6,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0J1E01027,10293,KCK,KCK INDUSTRIES LTD,44.55,,,0.05,2500,EQUITY,,NSE_EQ
NSE_EQ|IN1320210025,3695,645BR27,SDL BR 6.45% 2027,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE176A01028,371,BATAINDIA,BATA INDIA LTD,1239.1,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|IN1320210017,3650,639BR27,SDL BR 6.39% 2027,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE585B01010,10999,MARUTI,MARUTI SUZUKI INDIA LTD.,12574,,,1,1,EQUITY,,NSE_EQ
NSE_EQ|INE319B01014,7930,BYKE,THE BYKE HOSPITALITY LTD,80.72,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE139A01034,6364,NATIONALUM,NATIONAL ALUMINIUM CO LTD,189.5,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN000830C025,4427,GS220830C,GOI STRIPS C 220830,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE064C01022,9685,TRIDENT,TRIDENT LIMITED,31.7,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE912H01013,18029,MBLINFRA,MBL INFRASTRUCTURE LTD,43.27,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2920250114,757734,680RJ35,SDL RJ 6.80% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE763I01026,15174,TARIL,TRANS & RECTI. LTD,500.65,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE875G01048,31258,NDL,NANDAN DENIM LIMITED,3.8,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2920250106,757553,709RJ43,SDL RJ 7.09% 2043,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE919I01024,19877,RADIOCITY,MUSIC BROADCAST LIMITED,9.18,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE314T01025,14480,GOKULAGRO,GOKUL AGRO RESOURCES LTD,310.05,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE285K01026,6445,TECHNOE,TECHNO ELEC & ENG CO. LTD,1598.2,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE256C01024,13081,TRIVENI,TRIVENI ENGG. & INDS. LTD,366.35,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0TO501019,25711,HVAX,HVAX TECHNOLOGIES LIMITED,0,,,0.05,300,EQUITY,,NSE_EQ
NSE_EQ|INE992I01013,9305,STARTECK,STARTECK FINANCE LIMITED,304,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE268H01044,29149,NAVKARURB,NAVKAR URBANSTRUCTURE LTD,2.06,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0VZS01015,25860,LAKSHYA,LAKSHYA POWERTECH LIMITED,152.45,,,0.05,800,EQUITY,,NSE_EQ
NSE_EQ|INE395U01014,14194,NINSYS,NINTEC SYSTEMS LIMITED,448.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE970X01018,2606,LEMONTREE,LEMON TREE HOTELS LTD,153.38,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0Q9601016,19627,WOMANCART,WOMANCART LIMITED,233.55,,,0.05,400,EQUITY,,NSE_EQ
NSE_EQ|INE0V9N01017,24511,PRIZOR,PRIZOR VIZTECH LIMITED,225,,,0.05,800,EQUITY,,NSE_EQ
NSE_EQ|INE274F01020,11580,WESTLIFE,WESTLIFE FOODWORLD LTD,774.4,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|IN2920250049,756817,685RJ51,SDL RJ 6.85% 2051,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920250056,757039,689RJ48,SDL RJ 6.89% 2048,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920250015,756091,67RJ35,SDL RJ 6.7% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920250023,756104,678RJ47,SDL RJ 6.78% 2047,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE844K01012,20196,BEDMUTHA,BEDMUTHA INDUST LTD,150.94,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2920250031,756816,685RJ47,SDL RJ 6.85% 2047,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE947Q01028,19234,LAURUSLABS,LAURUS LABS LIMITED,790.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE03HW01020,18021,VLEGOV,VL E GOV AND IT SOL LTD,50.71,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3220190034,22139,721TR29,SDL TR 7.21% 2029,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920250080,756788,668RJ35,SDL RJ 6.68% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920250098,757560,673RJ35,SDL RJ 6.73% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3220190059,22138,698TR30,SDL TR 6.98% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920250064,757041,686RJ52,SDL RJ 6.86% 2052,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3220190042,22140,717TR30,SDL TR 7.17% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2920250072,757383,664RJ35,SDL RJ 6.64% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE913H01037,18822,ENDURANCE,ENDURANCE TECHNO. LTD.,2623,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|IN3220190067,22137,75TR30,SDL TR 7.5% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE490G01020,20830,MOIL,MOIL LIMITED,370.05,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE918I01026,16675,BAJAJFINSV,BAJAJ FINSERV LTD.,2017.2,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INF109K1A344,757781,TOP15IETF,ICICIPRAMC - TOP15IETF,10.35,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE360L01017,21021,FMNL,FUTURE MKT NETWORKS LTD,15.89,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE977Y01011,7780,BCONCEPTS,BRAND CONCEPTS LIMITED,341.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE342T07395,17347,1075NFL25,SEC RE NCD 10.75% SR.III,1025.8,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE933X01016,5655,SHANTI,SHANTI OVERSEAS INDIA LTD,11.43,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0N7S01010,15051,MOS,MOS UTILITY LIMITED,251.5,,,0.05,400,EQUITY,,NSE_EQ
